"id","personagem","diálogo"
21,"LEIA","Isso mesmo."
23,"LEIA","Han!"
25,"LEIA","Achei que você tinha decidido ficar."
27,"LEIA","Han, precisamos de você!"
29,"LEIA","Sim."
31,"LEIA","Preciso? Não sei do que você está falando."
33,"LEIA","E o que exatamente eu deveria saber?"
35,"LEIA","Sim. Você é uma grande ajuda para nós. Você é um líder natural..."
37,"LEIA","Você está imaginando coisas."
39,"LEIA","Prefiro beijar um Wookiee."
109,"LEIA","Eu não tive nada a ver com isso. O General Rieekan acha que é perigoso para qualquer nave deixar o sistema até que tenhamos ativado o escudo de energia."
111,"LEIA","Não sei de onde você tira seus delírios, cérebro de laser."
114,"LEIA","Meu...! Ora, você metido,... estúpido,... de aparência desalinhada... nerf-herder!"
116,"LEIA","Ora, acho que você ainda não sabe tudo sobre as mulheres?"
123,"LEIA","Então não pode ser uma daquelas criaturas que atacaram Luke."
130,"LEIA","O que foi?"
132,"LEIA","Um droide sonda imperial."
172,"LEIA","Todos os transportadores de tropas se reunirão na entrada norte. Os navios de transporte pesado sairão assim que forem carregados. Apenas duas escoltas de caça por navio. O escudo de energia só pode ser aberto por um curto período de tempo, então você terá que ficar muito perto de seus transportes."
174,"LEIA","O canhão de íons irá disparar vários tiros para garantir que qualquer nave inimiga esteja fora de sua rota de vôo. Quando você passar pelo escudo de energia, prossiga diretamente para o ponto de encontro. Entendido?"
176,"LEIA","Boa sorte."
219,"LEIA","É arriscado, mas não podemos aguentar muito mais tempo. Não temos escolha."
221,"LEIA","Evacuar o pessoal de terra restante."
234,"LEIA","Por que você ainda está aqui?"
236,"LEIA","Você tem autorização para sair."
239,"LEIA","Envie todas as tropas do setor doze para a encosta sul para proteger os combatentes."
242,"LEIA","Dê o sinal do código de evacuação. E vá para os seus transportes!"
258,"LEIA","Ajudaria se eu saísse e empurrasse?"
262,"LEIA","O balde de ferrolhos nunca vai nos fazer passar por esse bloqueio."
266,"LEIA","Algum dia você vai errar, e espero estar lá para ver."
277,"LEIA","Viu o quê?"
285,"LEIA","Eles estão se aproximando!"
287,"LEIA","Assistir o quê?"
297,"LEIA","Han, suba aqui!"
299,"LEIA","Asteróides!"
301,"LEIA","O que você está fazendo? Você não está realmente entrando em um campo de asteróides?"
303,"LEIA","Você não precisa fazer isso para me impressionar."
307,"LEIA","Eu retiro. Vamos ser pulverizados se ficarmos aqui muito mais tempo."
311,"LEIA","Mais perto?"
315,"LEIA","O que parece muito bom?"
